name,price,product_link,shipping_price,total_price
New Balance 515 V3 SNEAKER - MEN'S,118.72,https://www.ebay.com/itm/363726922066?hash=item54afd06152:g:FxkAAOSw62thPikd&var=632946346262,49.19,167.91
New Balance XC-72 Moonbeam size 11 Off White Black Mens Sneakers NEW | UXC72DB1,144.95,https://www.ebay.com/itm/194757228512?hash=item2d586f77e0:g:mjQAAOSwig1h6zLP,43.11,188.06
New Balance NB Fresh Foam Links SL Golf Shoes 4000GR Grey Men's New,99.95,https://www.ebay.com/itm/362867665769?hash=item547c992b69:g:DS0AAOSwlj9eC0u1&var=632653592570,48.83,148.78
New Balance Kawhi Jolly Rancher Men Athletic Sneaker Basketball Shoe Trainer CA1,110.00,https://www.ebay.com/itm/304114177189?_trkparms=ispr%3D1&hash=item46ce9e14a5:g:uwkAAOSwfFVhIDKn&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSsTrsimSq2LqQEOMrEDGZBYDIBz43EaYEvX45hrf62v6ghCVOFeXR%252B9lT5bWRI3%252FnjJrifpgXVPssv5VHgCxaQeuhGh5jhgI3LGGMpz5gW1hcc5BkWId7nYW88jfvLM707NReJcI%252Bhg%252FMUwLRfiGA9QZ0auwCqwZID4qOYRRT%252FObanSiB0URBJqX0kVg8JbRtiRzDvYwTdbUjel1LjyawTYRm0DfqMTAZs8LcSvTRZKi3fttCWsv7gZ61gHObzoHjPT00YnZZnwy3pXnGeiCFwvGsQP80yiTc2IhzD7dC28wz0NMcgNc5B%252F3ZYlg4NE%252B5sJ0FKjk%252Bt5O2R48btM6qWGHCmTqtdXcRg0e0tZRtII0aeqclJ70JzSEDcgDPjxwUfH0Ali%252BlVCsp4SkOR3hvCrlga739HjJ3Ty1Bn85R3%252BKUzsXhjfmokR2jCWoYuzSB5fOAJ%252B5QDlpchCxcv7vgAPRL9ADXb%252FaYpMBanYi55Mb2nenHO4BlVBfrm8lHOVsmzN9ErkA2MPxRIrSg9UBToU0mVSGvkN73tUeA%252BRySrHuCHGpII775JEumQbmBozJW3wAoKo%252F6DrTMMoqIX04XeZWBpxFS7zAklQFb1RRdL88Tumjwlsp%252FzdVifhN6FrCl%252BPpZzZ1F3iHw3Bgbda%252BS3WhQ%252FfjJihr2qpmLh6KEfH3P%252FX6a%252BX%252FAfWywHfZ5K5qw7Ign7EqQnpKc2aGQ6mwl%252BjsNWSt3NvGpGJoBKoaMUOUr9UwI4IyFwq68P6AsRys0PlPQ1LbQ3oCVgPswGSi4NccQbO3TisjUbCJ%252Ft4LHlKGGAjXKVog7HxTDD9s9QHDO%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff&var=603237985183,32.41,142.41
NEW BALANCE 608V5 MEN'S CROSSTRAINER Wide Width,118.72,https://www.ebay.com/itm/255384785638?_trkparms=ispr%3D1&hash=item3b761e92e6:g:BtcAAOSw~ClhEv7-&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSeg1Ad1f9161DldjYGbgJeQXE23YohMEkiz1xe%252BLtWPoWYFF4HUfiKgrhudJWGGVRrtkeyuSCLR1SEnPjLaNU9rGQQIg2BVlJ7dRDAajtElvDKskVlBY6cuJcM6NbtMh%252BqUQKRSpGWzJCBUMHCUsurg8TRVGDaHeZo0M6Na%252BR9LsryNENxWaREXqo281VKskr6ua60waj39DiuHmNJs1UWZqfJCHLXdqp3twRlJojgEZHl4HdnIefLXbP2UFb0%252Bp5UfbWGukOh%252B18JnloX6LL%252BQEIpuQP9DAmRpCjdcL4HVgYTULZZsLFsRiGdu8unXWYqtrChm5IP4VnKMlcaVxrKF5s6aepkM2vJm3Rn5fQPqocC67TPCDo7UhRlXelx2KhpQYGs3eXGgoJolNXnFxs9udNR9vrx0tPvL5Tt1%252Bc7PRT3xk0jGQIQB7U7sGEspDguYfRK9cYcJ51A4w6N1znFP%252B1UOiICqpygASby4cOAoLiE5aV0cSZ%252BVEDcZYcU5SbHUAb2WLvp1EJZG5ikBJ7iRJCjmrd9k1uUBH%252F6kn0DQz2JHLBc37zt%252FtRrUciFJFYXmXJ8nARLAP3R5BaFdkgaW8mSqz0dui4yHGF7jFy6e5mFyoP5e1idunrqZbCFWkf3cyBUueh78G0aphjCdKUorhCB8fKK5NhAQ5h7s1%252BF0%252FXzaQT%252F8%252FZK9l5VEUU2TRlrUlLWngu357EZYBVYuj09itPRu6OfU7pYyCOLPusKWWr8wsrmBS5gv55eEJOvWvPJU5CMWilNtqqrpzJVXyQlPbgyesPB%252FFJ%252BkYFXzrIJCATzH2%252FESYQYWYtJNA0H7HW%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff&var=555352947131,49.19,167.91
"New Balance 57/40 5740 ""Valentines Day"" Pink M5740V1 - Size 11",129.90,https://www.ebay.com/itm/284456800695?epid=25045973700&_trkparms=ispr%3D1&hash=item423af251b7:g:cywAAOSw9ORhRfHK&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSS2tefNAzyjxA1Q1YVqaAQBo2cBdzucum6kRO%252FQ3hzcP0ydTk0OFzcd1tEfr09Pi2rWLeKv%252BYb7Z6Ka%252Fjrec38%252BUqmLygt1m2hRM%252BegNJyz%252BNoJNnVgzz2d33zigLRCKNEkXqdUYkfpbDwt7osDkkGQoZRmYoV2W9M1oqLzuX8ReISxtDrUoC2RhlA%252BkmXAM%252ByfyS9HgRj8eFHH8tQRiyODq6SSBKJja7lpA2rig%252FChKiXvnZK4IJGmBMqDCisIYAWjdHZNkQKZmJmrOTSspddXGcQeausuCqPymZxhqAHRbV0ZAgJJ6Fc5RynJrHPR0EghusNrxApaNf94FfmTxzL7%252Bzd3PUrfMCZ4R5ZFKWQhL5xIl4sLcHPcrHp4dxhhFVs0DIe2VUWglPUuA5J1Pf6bkO16%252F0nVbQCAsd9u21wl035u3yUTDE8KM0dekcLRCV%252ByMqNbaNBqv6fSNkmcHcExt%252BsBY0wyRFJyKLovxiYpIv9vmi%252FlUId1C2CLclrDQOwvKT%252F8f80l3B9rNM7cBPoQ9UR695RVQFci8Oh2rD9bUBzzlGYMI0xei6ukZHM%252FrRUmm8OAzh04ocCYgzBfoVBHpNqUc4KAXh1fcOwq%252BSF%252FoC7rSEi%252BzINEsSFK%252FT1CbBUUYHWkwxVWXyqdn2gwFF6r8ipErE5E7%252FPDsBOab4Ai2Nml1jRN10v5a8PahTl171H2ctte2SSkjpeGAFGMLDgmAVqVMilvm8P%252FjYvZoVu7AmJ1JafRy%252FdPaSMsrdWaTFUaCd127zAXDVKPfeuE9H6Dn9IPETT9Vz2UHcRyuxLhyK%252BFJzL6WurXwIfs9bSDzR%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff,42.83,172.73000000000002
NEW Mens NEW BALANCE 574 Orange Rust SUEDE MESH Sneaker Shoes AUTHENTIC IN BOX,99.99,https://www.ebay.com/itm/165341227497?hash=item267f1ae9e9:g:QKgAAOSwBZJiDlHg&var=464887526607,80.00,179.99
New Balance 550 White Royal Black BB550HN1 Size 11,134.99,https://www.ebay.com/p/13051110760?iid=125140313370,42.92,177.91000000000003
New Balance Men's 327 Sneakers Shoes Size 11 $100 MS327EA,62.97,https://www.ebay.com/itm/234319874686?hash=item368e8d8a7e:g:NY0AAOSwp7FhrPuw,48.28,111.25
New Balance X-Racer Mens Size 11 D Timberwolf Grey Neon Hiking Shoes MSXRCTBC,129.99,https://www.ebay.com/itm/154843499162?hash=item240d644a9a:g:JBwAAOSwZLxh~LPA,46.83,176.82
